eval,pooled,static,passed,obj,x0,x1,x2,x3
120,44.1350,43.7700,1,44.1350,0.98558,0.11274,0.63745,0.19860
121,43.1710,42.7120,0,-56.8290,1.68025,0.24305,1.21147,0.22837
122,43.0170,44.2890,1,43.0170,2.17979,-0.02855,0.25340,0.29502
123,43.4750,43.6600,1,43.4750,1.93087,0.15097,0.43109,0.29418
124,42.8690,42.1500,0,-57.1310,2.87419,0.24803,0.56849,-0.09682
125,43.7120,42.5640,0,-56.2880,0.87880,0.21787,0.31639,-0.10980
126,44.4550,44.1440,1,44.4550,0.59789,0.05344,0.46972,0.13323
127,44.3670,41.6630,0,-55.6330,0.93466,0.31270,0.40173,0.05343
128,43.6780,41.8150,0,-56.3220,0.75010,0.28556,1.04678,0.16105
129,43.4900,44.7770,1,43.4900,0.79758,-0.01820,1.27944,0.17692
130,42.8880,43.0560,0,-57.1120,1.19480,0.19986,0.93012,-0.16185
131,43.1480,43.8790,1,43.1480,1.69393,0.11377,1.18087,0.27598
132,44.2150,44.8380,1,44.2150,0.44812,-0.18212,0.14467,0.08790
133,43.3710,40.0060,0,-56.6290,2.51474,0.48996,0.92346,0.03954
134,44.2040,44.7260,1,44.2040,1.37347,-0.03400,0.78687,0.11160
135,43.0600,44.6260,1,43.0600,1.76473,-0.14996,1.17165,0.16046
136,43.8600,42.8700,0,-56.1400,2.17936,0.20916,0.46538,-0.03326
137,44.3590,44.2260,1,44.3590,1.53107,0.06454,0.20292,0.07200
138,44.1270,43.6590,1,44.1270,0.69011,0.09615,0.24601,0.19029
139,44.0110,41.0240,0,-55.9890,0.43130,0.30000,0.65337,0.01129
140,42.6150,42.6600,0,-57.3850,1.97529,0.24086,1.20454,-0.13247
141,44.0620,41.3010,0,-55.9380,1.00923,0.34149,0.76530,0.06756
142,44.2040,44.0130,1,44.2040,1.17116,0.09026,0.80106,0.12941
143,42.5520,43.4980,1,42.5520,2.38572,0.13927,1.04478,0.32553
144,43.7630,44.9400,1,43.7630,0.64645,-0.07823,0.87081,-0.03624
145,43.6640,43.1100,0,-56.3360,0.87877,0.18119,1.21613,0.12780
146,43.8870,43.5200,1,43.8870,0.86640,0.12737,0.38332,-0.09847
147,43.4790,44.7300,1,43.4790,1.16518,-0.01050,1.28414,0.15295
148,43.0660,44.9570,1,43.0660,0.77002,-0.10186,0.76716,-0.14259
149,43.5940,37.2600,0,-56.4060,0.81623,0.53943,0.37025,0.03264
150,43.2100,43.5500,1,43.2100,2.80616,0.09078,0.18312,-0.07981
151,42.9430,43.0700,0,-57.0570,1.55999,0.21216,0.33201,0.38478
152,43.7400,43.8010,1,43.7400,1.08099,0.11274,0.18368,-0.12469
153,43.2570,42.3410,0,-56.7430,2.13577,0.26319,1.17216,0.05780
154,44.3320,42.7280,0,-55.6680,0.36824,0.13182,0.19701,0.04823
155,43.6110,39.1400,0,-56.3890,2.01825,0.55706,0.27089,0.16852
156,43.1560,43.8680,1,43.1560,2.95156,0.01085,0.61591,0.13095
157,43.1270,42.8470,0,-56.8730,1.04985,0.21529,1.19981,0.28768
158,44.4970,44.3310,1,44.4970,0.79403,0.05344,0.17418,0.01950
159,44.3610,44.0170,1,44.3610,1.60541,0.09177,0.46538,0.02131
160,43.9060,44.1510,1,43.9060,1.71962,0.06562,0.92409,0.11440
161,43.6410,43.2400,1,43.6410,0.90000,0.17000,1.14472,0.22178
162,44.3980,43.2690,1,44.3980,0.39193,0.09346,0.22413,0.08903
163,43.7150,43.2900,1,43.7150,0.61742,0.11377,0.25866,0.27598
164,44.2570,44.2460,1,44.2570,1.40385,0.06488,0.26267,0.14499
165,43.1410,44.0100,1,43.1410,1.86236,0.08234,0.29676,0.34511
166,43.1800,42.3200,0,-56.8200,0.32988,0.16250,1.46226,0.11160
167,43.4380,38.4310,0,-56.5620,0.67617,0.47160,0.26878,-0.06547
168,43.7880,43.6270,1,43.7880,1.45739,0.15947,0.37787,0.25042
169,44.3820,43.2630,1,44.3820,1.35457,0.18374,0.41215,0.00907
170,44.1460,41.5690,0,-55.8540,0.69011,0.28212,0.53864,-0.01264
171,44.4260,42.1810,0,-55.5740,1.43263,0.30000,0.45663,0.06820
