eval,pooled,static,passed,obj,x0,x1,x2,x3,x4,x5,x6,x7
65,43.8000,44.0020,1,43.8000,1.76677,0.07152,-0.45690,0.49145,0.72638,-0.03142,0.36368,-0.44084
66,43.8960,42.9760,0,-56.1040,0.51048,0.09270,0.80400,-0.62719,0.88252,0.14246,0.63906,-0.13477
67,39.6390,44.4620,1,39.6390,1.40831,-0.14335,-0.91007,0.50660,1.03321,0.43332,0.80784,-0.31646
68,43.8790,44.9130,1,43.8790,0.86789,-0.12720,0.89865,0.59564,0.12820,-0.02245,0.82666,0.92127
69,43.5910,42.6360,0,-56.4090,0.62411,0.15306,0.07605,-0.58148,0.97760,-0.01441,0.20290,0.42744
70,42.9070,40.7480,0,-57.0930,0.85327,0.34767,-0.06715,-0.08981,1.47972,0.06961,-0.09253,-0.99927
71,43.3880,41.9580,0,-56.6120,2.38331,0.28993,0.09362,0.41078,0.25699,0.16498,0.22976,-0.94564
72,43.7450,40.3250,0,-56.2550,2.29248,0.43143,-0.13865,0.24728,0.22979,-0.06031,0.08817,-0.69193
73,42.4780,44.9170,1,42.4780,1.40164,-0.10863,0.68451,0.04332,0.97586,0.46520,-0.81089,-0.61655
74,43.0860,43.9260,1,43.0860,1.60092,0.10279,0.53334,-0.67807,1.06701,0.24637,0.60082,-0.11178
75,42.9640,37.7650,0,-57.0360,0.97343,0.56464,0.52587,0.86617,1.17199,0.15616,-0.49876,0.70522
76,43.4910,44.0010,1,43.4910,1.67126,0.08595,-0.09362,0.48178,0.22326,-0.04238,-0.22976,0.90735
77,43.6260,42.3110,0,-56.3740,2.12165,0.26878,0.07711,0.33831,0.26457,0.15351,0.18923,-0.77883
78,44.0280,43.1200,0,-55.9720,1.19436,0.19231,0.09698,-0.01809,0.19028,-0.03582,-0.62244,0.48045
79,44.2480,41.1310,0,-55.7520,0.50415,0.29384,-0.61743,0.07107,0.60776,0.01473,0.39551,-0.07839
80,42.5730,42.0220,0,-57.4270,0.62586,0.25689,0.64207,0.22452,0.67774,-0.18870,0.32308,0.29389
81,42.9990,43.0440,0,-57.0010,0.90000,0.17000,0.00000,-0.40237,0.30000,0.32748,-0.89035,-0.84117
82,43.0000,44.4160,1,43.0000,1.90808,-0.18570,-0.47774,-0.15822,0.74445,0.01536,-0.49255,-0.01148
83,43.5830,44.3180,1,43.5830,0.79546,0.03859,0.43437,0.06542,0.26893,-0.09105,-0.42338,0.50957
